Name,ID de sous-réseau,VPC_ID,CIDR IPv4,Adresses IPv4 disponibles,Zone de disponibilité,ID de zone de disponibilité,Table de routage,ACL réseau,Sous-réseau par défaut,Attribuer automatiquement une adresse IPv4 publique,Attribuer automatiquement un adresse IPv4 détenue par le client
VPC_PROD_CIBLE_SubnetPriINFRAA,subnet-3909ae60,vpc-db0ba2be,10.66.64.0/21,2034,eu-west-1a,euw1-az3,rtb-8318a0e6 | PrivateRouteTableA,acl-1a259a7f,Non,Non,Non
VPC_SERVICES_TECHNIQUES_SubnetIPri_InfraB,subnet-0245530a4fc62c02a,vpc-07dbe76a0049b6630,10.64.246.128/25,106,eu-west-1b,euw1-az1,rtb-058a88b5f2609b4ce | RTB_VPC_SERVICES_TECHNIQUES,acl-065f63813dec9fc12,Non,Non,Non
VPC_VERI_SubnetPriPROD2B,subnet-90ac96f5,vpc-0f94c76a,10.72.26.0/24,250,eu-west-1b,euw1-az1,rtb-0f7e426a | PrivateRouteTableB_VERI,acl-ce7542ab,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriPROD1A,subnet-0209ae5b,vpc-db0ba2be,10.66.0.0/23,470,eu-west-1a,euw1-az3,rtb-8318a0e6 | PrivateRouteTableA,acl-1a259a7f,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriPROD2A,subnet-0409ae5d,vpc-db0ba2be,10.66.2.0/23,493,eu-west-1a,euw1-az3,rtb-8318a0e6 | PrivateRouteTableA,acl-1a259a7f,Non,Non,Non
VPC_EOL_SubnetPub_InfraB,subnet-001b58dc6ca1d6f4a,vpc-01b88edc87fee897f,10.64.33.128/25,122,eu-west-1b,euw1-az1,rtb-0be1ce2cb87bb0c19 | RTB_VPC_EOL_PUB,acl-064a774bba04f80d5,Non,Non,Non
Private-subnet-1a,subnet-00ff8e9744741f1ba,vpc-fd33ff98,172.31.64.0/20,4089,eu-west-1a,euw1-az3,rtb-035316cad742cbd8c | private-rt,acl-9072a5f5,Non,Non,Non
VPC_VERI_SubnetPubINFRAA,subnet-2085ff79,vpc-0f94c76a,10.72.20.128/25,122,eu-west-1a,euw1-az3,rtb-0c7e4269 | PublicRouteTable_VERI,acl-ce7542ab,Non,Non,Non
–,subnet-7b49b022,vpc-fd33ff98,172.31.0.0/20,4090,eu-west-1a,euw1-az3,rtb-1f06d77a | DefaultRouteTable_default,acl-9072a5f5,Oui,Oui,Non
SB_VPC_VESA-PROD-PF_PUB_B,subnet-083bb243988fde6b8,vpc-00344fe8bc5e453f6,10.72.114.64/26,59,eu-west-1b,euw1-az1,rtb-0eafdfd338866ef54 | RTB_VESA-PROD-PF_PUB,acl-0c98fa206a13ae0aa,Non,Oui,Non
VPC_SERVICES_TECHNIQUES_SubnetIPri_InfraA,subnet-0cfd14ada98e492fe,vpc-07dbe76a0049b6630,10.64.246.0/25,106,eu-west-1a,euw1-az3,rtb-058a88b5f2609b4ce | RTB_VPC_SERVICES_TECHNIQUES,acl-065f63813dec9fc12,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriPROD3A,subnet-3a09ae63,vpc-db0ba2be,10.66.4.0/23,507,eu-west-1a,euw1-az3,rtb-8318a0e6 | PrivateRouteTableA,acl-1a259a7f,Non,Non,Non
VPC_VERI_SubnetPubDMZ2B,subnet-93ac96f6,vpc-0f94c76a,10.72.31.0/24,251,eu-west-1b,euw1-az1,rtb-0c7e4269 | PublicRouteTable_VERI,acl-ce7542ab,Non,Non,Non
SB_VPC_STREAMING_PRI_PROD_B,subnet-cef749a8,vpc-9681faf0,10.64.4.0/22,926,eu-west-1b,euw1-az1,rtb-09ea8f70 | RTB_VPC_STREAMING_PRI_B,acl-cf986bb6,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriRELAYA,subnet-871369de,vpc-db0ba2be,10.66.73.0/24,251,eu-west-1a,euw1-az3,rtb-8318a0e6 | PrivateRouteTableA,acl-1a259a7f,Non,Non,Non
VPC_VERI_SubnetPubDMZ1B,subnet-9dac96f8,vpc-0f94c76a,10.72.29.0/24,251,eu-west-1b,euw1-az1,rtb-0c7e4269 | PublicRouteTable_VERI,acl-ce7542ab,Non,Non,Non
